ElementID,EnterpriseNo,FieldType,DataType
1,9,scTag,unsigned32
2,9,scTrafficProcessorId,unsigned8
3,9,scSourceIpSample,unsigned8
4,9,scDestinationIpSample,unsigned8
5,9,scFlowContextId,unsigned32
6,9,scSubscriberId,string
7,9,policy_id,unsigned16
8,9,scServiceId,unsigned32
9,9,scProtocolId,unsigned16
10,9,scSkipppedSessions,unsigned32
11,9,scInitiatingSide,unsigned8
12,9,scReportTime,unsigned32
13,9,scTransactionDurationMillisec,unsigned32
14,9,scTimeFrame,unsigned8
15,9,scSessionUpstreamVolume,unsigned32
16,9,scSessionDownstreamVolume,unsigned32
17,9,scProtocolSignature,unsigned32
18,9,scZoneId,unsigned32
19,9,scFlavorId,unsigned32
20,9,scFlowCloseMode,unsigned8
21,9,access_string,string
22,9,info_string,string
23,9,scClientPort,unsigned16
24,9,scServerPort,unsigned16
25,9,scSubscriberCounterId,unsigned16
26,9,scServiceUsageCounterId,unsigned16
27,9,scBreachState,unsigned8
28,9,scReason,unsigned8
29,9,scConfiguredDuration,unsigned32
30,9,scDuration,unsigned32
31,9,scEndTime,unsigned32
32,9,scUpstreamVolume,unsigned32
33,9,scDownstreamVolume,unsigned32
34,9,scSessions,unsigned16
35,9,scSeconds,unsigned16
36,9,scPackageCounterId,unsigned16
37,9,scGeneratorId,unsigned8
38,9,scServiceGlobalCounterId,unsigned16
39,9,scConcurrentSessions,unsigned32
40,9,scActiveSubscribers,unsigned32
41,9,scTotalActiveSubscribers,unsigned32
42,9,link_id,unsigned8
43,9,scVirtualLinkId,unsigned16
44,9,scVirtualLinkDirection,unsigned8
45,9,scAggregationObjectId,unsigned16
46,9,scVendorId,unsigned32
47,9,scUpstreamPacketLoss,unsigned16
48,9,scDownstreamPacketLoss,unsigned16
51,9,scAttackId,unsigned32
52,9,scAttackIp,unsigned32
53,9,scAttackOtherIp,unsigned32
54,9,scAttackPortNumber,unsigned16
55,9,scAttackType,unsigned32
56,9,scAttackSide,unsigned8
57,9,scAttackIpProtocol,unsigned8
58,9,scAttacks,unsigned8
59,9,scAttackMaliciousSessions,unsigned32
60,9,scUserAgent,octetArray
61,9,scHttpUrl,octetArray
62,9,scSipDomain,octetArray
63,9,scSipUserAgent,octetArray
64,9,scFlowStart,unsigned32
65,9,scFlowType,unsigned8
66,9,scSessionId,unsigned32
67,9,scUpstreamJitter,unsigned32
68,9,scDownstreamJitter,unsigned32
69,9,scUpstreamPayloadType,unsigned8
70,9,scDownstreamPayloadType,unsigned8
71,9,scUpstreamAverageJitter,unsigned32
72,9,scDownstreamAverageJitter,unsigned32
73,9,scCallDestination,octetArray
74,9,scCallSource,octetArray
75,9,scCallType,unsigned8
76,9,scMediaChannels,unsigned8
77,9,scBlockReason,unsigned8
78,9,scBlockRdrCount,unsigned32
79,9,scRedirected,unsigned8
80,9,Generic_Attribute,string
81,9,Traffic_Class_Label_TCL_,string
82,9,Uri_Sender,string
83,9,Uri_Receiver,string
84,9,Contact_Sender,string
85,9,Contact_Receiver,string
86,9,Bandwidth_Pool_ID,octetArray
