ElementID,EnterpriseNo,FieldType,DataType
7,0,sourceTransportPort,unsigned16
8,0,sourceIPv4Address,ipv4Address
11,0,destinationTransportPort,unsigned16
12,0,destinationIPv4Address,ipv4Address
27,0,sourceIPv6Address,ipv6Address
28,0,destinationIPv6Address,ipv6Address
48,0,samplerId,unsigned8
49,0,samplerMode,unsigned8
50,0,samplerRandomInterval,unsigned32
82,0,interfaceName,string
83,0,interfaceDescription,string
84,0,samplerName,string
94,0,applicationDescription,string
95,0,applicationId,unsigned32
96,0,applicationName,string
97,0,subApplicationTag,unsigned32
109,0,subApplicationName,string
110,0,subApplicationDescription,string
288,0,p2pTechnology,string
289,0,tunnelTechnology,string
290,0,encryptedTechnology,string
12230,9,applicationFamilyName,string
12231,9,applicationSet,string
12232,9,applicationCategory,string
12233,9,applicationSubCategory,string
12234,9,applicationGroup,string
12235,9,applicationVarString,ciscoappvarstring
12243,9,applicationTrafficClass,string
12244,9,applicationBusinessRelevance,string
12236,9,conn_client_ipv4_address,ipv4Address
12237,9,conn_server_ipv4_address,ipv4Address
12238,9,conn_client_ipv6_address,ipv6Address
12239,9,conn_server_ipv6_address,ipv6Address
12240,9,conn_client_trans_port,unsigned16
12241,9,conn_server_trans_port,unsigned16
12172,9,ETA_IDP,octetArray
12173,9,ETA_SPLT,CiscoETA_SPLT
12174,9,ETA_SALT,octetArray
12175,9,ETA_BD_FMT,octetArray
12176,9,ETA_BD,octetArray
12177,9,TLS_Record,octetArray
12178,9,TLS_Cipher,octetArray
12179,9,TLS_EXTNS,octetArray
12180,9,TLS_VERSION,unsigned8
12181,9,TLS_KEYLEN,unsigned16
12182,9,TLS_SESSIONID,octetArray
12183,9,TLS_RANDOM,octetArray
