ElementID,EnterpriseNo,FieldType,DataType
0,0,Reserved,
1,0,octetDeltaCount,unsigned64
2,0,packetDeltaCount,unsigned64
3,0,deltaFlowCount,unsigned64
4,0,protocolIdentifier,unsigned8
5,0,ipClassOfService,unsigned8
6,0,tcpControlBits,tcpflag
7,0,sourceTransportPort,unsigned16
8,0,sourceIPv4Address,ipv4Address
9,0,sourceIPv4PrefixLength,unsigned8
10,0,ingressInterface,dyanmic2B4B
11,0,destinationTransportPort,unsigned16
12,0,destinationIPv4Address,ipv4Address
13,0,destinationIPv4PrefixLength,unsigned8
14,0,egressInterface,dyanmic2B4B
15,0,ipNextHopIPv4Address,ipv4Address
16,0,bgpSourceAsNumber,unsigned32
17,0,bgpDestinationAsNumber,unsigned32
18,0,bgpNextHopIPv4Address,ipv4Address
19,0,postMCastPacketDeltaCount,unsigned64
20,0,postMCastOctetDeltaCount,unsigned64
21,0,flowEndSysUpTime,unsigned32
22,0,flowStartSysUpTime,unsigned32
23,0,postOctetDeltaCount,unsigned64
24,0,postPacketDeltaCount,unsigned64
25,0,minimumIpTotalLength,unsigned64
26,0,maximumIpTotalLength,unsigned64
27,0,sourceIPv6Address,ipv6Address
28,0,destinationIPv6Address,ipv6Address
29,0,sourceIPv6PrefixLength,unsigned8
30,0,destinationIPv6PrefixLength,unsigned8
31,0,flowLabelIPv6,unsigned32
32,0,icmpTypeCodeIPv4,unsigned16
33,0,igmpType,unsigned8
34,0,samplingInterval,unsigned32
35,0,samplingAlgorithm,unsigned8
36,0,flowActiveTimeout,unsigned16
37,0,flowIdleTimeout,unsigned16
38,0,engineType,unsigned8
39,0,engineId,unsigned8
40,0,exportedOctetTotalCount,unsigned64
41,0,exportedMessageTotalCount,unsigned64
42,0,exportedFlowRecordTotalCount,unsigned64
43,0,ipv4RouterSc,ipv4Address
44,0,sourceIPv4Prefix,ipv4Address
45,0,destinationIPv4Prefix,ipv4Address
46,0,mplsTopLabelType,unsigned8
47,0,mplsTopLabelIPv4Address,ipv4Address
48,0,samplerId,unsigned8
